"win","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","inhibitorKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist"
FALSE,2,11,2,0,1,0,375,0,0,0,0,0,39485,5295,30086,4104,0,6969,1767,4845,356,7193,1,0,0,0,0,0,21153,6829,14183,140,5723,4975,0,0,16,30,14,16,250,10,0,0,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,2,8,5,0,1,0,399,0,0,0,0,0,74351,905,66384,7061,0,7272,491,5998,783,8676,1,0,0,0,0,0,24628,6043,17242,1342,6725,5575,0,0,28,69,37,32,619,11,0,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,6,12,8,2,1,1,264,0,0,0,0,0,67353,63541,3811,0,424,19903,19231,671,0,600,1,0,0,0,0,0,21756,5137,16546,72,10875,10750,0,0,74,0,0,0,335,13,0,0,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,6,5,7,3,1,2,449,0,0,0,0,0,52649,614,45354,6680,331,8018,130,6965,923,1069,3,3915,119,0,8,12,12094,2503,9347,244,7533,6550,0,0,84,0,0,0,780,12,0,0,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,10,10,17,3,1,3,355,0,0,0,0,0,182184,15237,166947,0,1247,21049,4036,17013,0,8035,4,17178,7433,385,17,32,32297,16894,12885,2517,15497,14650,0,0,196,2,1,0,209,17,0,0,13,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,1,5,2,0,1,0,596,0,0,0,0,0,154500,56267,90138,8096,0,5927,3138,2185,604,6198,1,0,0,0,0,0,31040,2934,27501,603,10571,9925,1,1,51,79,68,11,442,14,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4352,1385,2877,90,0,715,288,337,90,32,1,694,0,0,0,2,1158,391,766,0,811,500,0,0,7,0,0,0,39,3,0,0,1,0,FALSE,FALSE,NA,NA,NA,NA
FALSE,0,1,0,0,0,0,90,0,0,0,0,0,5201,3362,1039,800,0,385,338,46,0,587,1,544,0,0,0,0,1534,391,1130,12,878,500,0,0,0,8,8,0,18,2,0,0,0,0,FALSE,FALSE,NA,NA,NA,NA
TRUE,15,8,7,4,2,5,585,1,0,0,0,0,232890,7588,206012,19290,639,35044,983,27947,6113,5422,1,15190,29499,13064,20,22,30621,10828,18427,1364,18881,16625,6,1,163,50,26,2,721,18,0,0,11,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
TRUE,21,15,21,3,3,5,806,3,1,0,0,0,285584,5518,268038,12026,1064,62949,4003,53801,5144,13305,1,61827,13951,2821,27,172,82695,19642,56390,6662,23377,21158,0,1,178,56,43,13,944,18,0,0,11,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
FALSE,11,13,14,3,1,3,685,0,0,0,0,0,163235,99453,54071,9710,0,35479,20294,12699,2486,11492,1,25215,16255,4948,23,13,43846,20262,21765,1818,15973,13925,1,1,51,89,27,25,183,18,0,0,12,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,5,7,10,2,1,2,827,0,0,0,0,0,77564,56023,20788,752,0,12448,9779,2156,512,586,1,0,0,0,0,0,21984,13498,8393,92,10375,9705,0,1,83,5,3,2,269,15,0,0,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,3,11,3,0,1,0,232,0,0,0,0,0,12873,8146,4727,0,0,7036,5068,1967,0,100,1,0,0,0,0,0,15204,4788,8743,1673,5754,5735,0,0,7,0,0,0,259,9,0,3,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
